team_global_id,player_global_id,player_firstname,player_lastname,player_position,player_number,player_status,           player_id,player_height,player_weight,player_birthdate,           player_birthcity,player_birthstate,player_birthcountry,player_schoolid,           player_school,player_highschoolstate,player_firstyear,player_experience,           player_suspended,player_draftround,player_draftpick,
24,3508,Tony,Parker,Point Guard,9,true,3527,74,180,1982,Bruges,,Belgium,,None,,2001,11,false,1,28,
24,421084,Eric,Dawson,Forward,23,false,5005,79,255,1984,San Antonio,Texas,United States,369,Midwestern State,TX,2011,1,false,Undrafted,,
24,172546,Ike,Diogu,Forward-Center,1,false,3935,81,250,1983,Buffalo,New York,United States,58,Arizona State,TX,2005,6,false,1,9,
24,57782,Matt,Bonner,Power Forward,15,true,3748,82,240,1980,Concord,New Hampshire,United States,67,Florida,NH,2004,8,false,2,16,
24,173920,Derrick,Byars,Guard-Forward,34,true,4319,79,220,1984,Memphis,Tennessee,United States,72,Vanderbilt,TN,2011,1,false,2,12,
24,393436,Tiago,Splitter,Center,22,true,4306,83,232,1985,Blumenau,,Brazil,,None,,2010,2,false,1,28,
24,3361,Manu,Ginobili,Guard-Forward,20,true,3380,78,205,1977,Bahia Blanca,,Argentina,,None,,2002,10,false,2,28,
24,411562,Patrick,Mills,Point Guard,8,true,4660,72,185,1988,Canberra,,Australia,220,Saint Mary's,,2009,3,false,2,25,
24,173407,Gary,Neal,Guard,14,true,4796,76,210,1984,Baltimore,Maryland,United States,221,Towson,MD,2010,2,false,Undrafted,,
24,65799,T.J.,Ford,Point Guard,16,false,3711,72,165,1983,Houston,Texas,United States,83,Texas,TX,2003,8,false,1,8,
24,399702,James,Anderson,Guard-Forward,25,false,4751,78,215,1989,Junction City,Arkansas,United States,25,Oklahoma State,AR,2010,2,false,1,20,
24,3192,Stephen,Jackson,Guard-Forward,3,true,3210,80,220,1978,Houston,Texas,United States,,None,VA,2000,12,false,2,14,
24,3155,Tim,Duncan,Forward-Center,21,true,3173,83,260,1976,St. Croix,,U.S. Virgin Islands,9,Wake Forest,,1997,15,false,1,1,
24,295922,Danny,Green,Guard-Forward,4,true,4651,78,210,1987,North Babylon,New York,United States,6,North Carolina,NY,2009,3,false,2,16,
24,214157,Boris,Diaw,Forward-Center,33,true,3724,80,245,1982,Cormeilles-en-Parisis,,France,,None,,2003,9,false,1,21,
24,411458,Malcolm,Thomas,Forward,23,false,4968,81,215,1988,San Diego,California,United States,93,San Diego State,,2011,1,false,Undrafted,,
24,402377,DeJuan,Blair,Forward-Center,45,true,4642,79,265,1989,Pittsburgh,Pennsylvania,United States,12,Pittsburgh,PA,2009,3,false,2,7,
24,512591,Kawhi,Leonard,Guard-Forward,2,true,4896,78,225,1991,Riverside,California,United States,93,San Diego State,CA,2011,1,false,1,15,
24,552805,Cory,Joseph,Point Guard,5,true,4911,75,185,1991,Toronto,Ontario,Canada,83,Texas,NV,2011,1,false,1,29,
